talk_id,WC,comment_num,duration,talk_event,film_date,main_speaker,published_date,view_count
279,1792,55,821,EG 2007,2007-12-12,John Q. Walker,2008-08-26,329964
280,3208,174,1259,LIFT 2007,2007-02-02,Sugata Mitra,2008-08-27,1486853
281,2736,92,998,TEDGlobal 2007,2007-06-06,Ory Okolloh,2008-08-28,321896
282,995,99,348,TED2006,2006-02-02,Einstein the Parrot,2008-08-29,2350678
283,3291,54,984,TED2008,2008-02-02,Paul Rothemund,2008-09-02,501256
284,2681,91,931,TEDGlobal 2005,2005-07-07,Peter Diamandis,2008-09-03,504508
285,5193,62,1899,EG 2007,2007-12-12,Peter Hirshberg,2008-09-04,250722
286,2385,151,748,TED2007,2007-02-02,Jonathan Drori,2008-09-05,1032549
287,3475,62,1426,TEDGlobal 2007,2007-06-06,Jane Goodall,2008-09-08,556147
288,4342,85,1518,TED2008,2008-02-29,Irwin Redlener,2008-09-09,657688
289,3695,56,1206,EG 2007,2007-12-12,Brewster Kahle,2008-09-10,445781
291,3119,68,1414,TED2005,2005-02-02,Carmen Agra Deedy,2008-09-12,672797
292,2180,12,966,TED2002,2002-02-02,Keith Bellows,2008-09-15,185275
293,3521,219,1182,EG 2007,2007-12-12,Ann Cooper,2008-09-16,1137771
294,3688,838,1122,TED2008,2008-03-01,Jonathan Haidt,2008-09-17,2724208
295,2037,97,825,TEDGlobal 2005,2005-07-07,Eve Ensler,2008-09-18,1074170
296,3181,102,879,TED2007,2007-03-01,David S. Rose,2008-09-19,1008394
297,2040,45,813,TED2003,2003-02-02,Marvin Minsky,2008-09-22,513090
298,3823,383,1396,TED2008,2008-02-02,Philip Zimbardo,2008-09-23,5842377
299,673,166,209,TED2008,2008-02-02,Laura Trice,2008-09-24,1714168
300,3709,39,1107,EG 2007,2007-12-12,Caleb Chung,2008-09-25,417769
301,3499,218,1362,TED2003,2003-02-28,Steven Pinker,2008-09-26,1044038
302,2978,81,1127,TED2003,2003-02-02,Rodney Brooks,2008-09-29,602024
303,509,41,285,TED2008,2008-02-02,Stefan Sagmeister,2008-09-30,724833
304,2773,172,907,TED2003,2003-02-02,Noah Feldman,2008-10-01,385647
305,2916,53,1164,EG 2007,2007-12-12,Liz Diller,2008-10-02,583322
306,237,33,352,TED Prize Wish,2008-10-03,James Nachtwey,2008-10-03,421212
307,3207,180,1266,TED2006,2006-02-02,David Perry,2008-10-06,1084634
308,3755,53,1128,TED2008,2008-02-02,Doris Kearns Goodwin,2008-10-07,522550
309,3197,15,990,TED2003,2003-02-02,Steven Johnson,2008-10-08,344618
310,15,93,284,TED2003,2003-02-02,James Burchfield,2008-10-10,794615
311,3083,278,1286,TED2008,2008-02-02,Garrett Lisi,2008-10-14,1491698
312,3120,23,1060,EG 2007,2007-12-12,Paola Antonelli,2008-10-15,313572
313,2772,43,975,TED2004,2004-02-02,Virginia Postrel,2008-10-16,379382
314,3871,120,1009,TED2004,2004-02-02,Dean Ornish,2008-10-17,1110781
315,2703,111,1000,TED2008,2008-02-02,John Hodgman,2008-10-21,1935213
316,3270,29,1368,TED1998,1998-02-02,Paul MacCready,2008-10-22,197139
317,2325,243,1135,TED2004,2004-02-29,Mihaly Csikszentmihalyi,2008-10-23,4016531
318,287,40,277,TED2003,2003-02-28,Kristen Ashburn,2008-10-24,352285
319,2854,212,1101,TED2003,2003-02-28,Jared Diamond,2008-10-27,1636425
320,333,87,197,TED2008,2008-02-02,Rives,2008-10-28,1594241
322,2274,37,1124,TEDGlobal 2007,2007-06-06,Newton Aduaka,2008-10-31,330238
323,2006,76,946,TEDSalon 2009 Compassion,2009-10-01,Jackie Tabick,2008-10-31,176245
324,1242,99,1014,Chautauqua Institution,2009-10-01,Dayananda Saraswati,2008-10-31,273396
325,2334,30,1118,Chautauqua Institution,2009-10-01,James Forbes,2008-10-31,204410
326,1887,152,1007,TEDSalon 2009 Compassion,2009-10-14,Feisal Abdul Rauf,2008-10-31,433202
327,3320,46,1087,Chautauqua Institution,2009-10-01,Robert Thurman,2008-10-31,304800
328,2823,82,1016,TEDSalon 2009 Compassion,2009-10-14,Robert Wright,2008-10-31,236002
329,1987,30,731,TED2005,2005-02-28,Graham Hawkes,2008-11-03,375491
330,2866,27,1019,TED2005,2005-02-02,James Surowiecki,2008-11-04,429084
331,2781,108,1164,TED2008,2008-02-02,John Francis,2008-11-05,723599
332,4801,139,1678,Serious Play 2008,2008-05-07,Tim Brown,2008-11-06,1893522
333,2744,65,953,TED2005,2005-02-02,Luca Turin,2008-11-07,487630
334,1895,57,745,TED2003,2003-02-02,Lee Smolin,2008-11-10,258922
335,4175,45,1389,TED2008,2008-02-02,Samantha Power,2008-11-11,456095
336,5549,29,1697,Serious Play 2008,2008-05-07,Charles Elachi,2008-11-12,558734
337,2205,80,957,TED2006,2006-02-02,Ursus Wehrli,2008-11-13,1314201
338,3896,51,1403,TED2004,2004-02-02,Stewart Brand,2008-11-17,242975
339,2724,89,856,TED2008,2008-02-02,Isaac Mizrahi,2008-11-18,900005
340,2073,36,1054,TEDGlobal 2007,2007-06-06,Franco Sacchi,2008-11-19,223082
341,3783,255,1140,Serious Play 2008,2008-05-08,George Smoot,2008-11-20,1630525
342,3164,36,1142,TED2006,2006-02-02,Bill Joy,2008-11-24,487378
343,3019,226,1224,Taste3 2008,2008-07-18,Dan Barber,2008-11-24,1294705
344,448,33,202,TED2008,2008-02-02,Andy Hobsbawm,2008-11-26,429967
345,622,63,227,TED2008,2008-02-02,Gregory Petsko,2008-11-30,909508
346,2719,66,1171,TED2008,2008-02-02,Richard Preston,2008-12-02,644637
347,5035,92,1711,Serious Play 2008,2008-05-08,Philip Rosedale,2008-12-03,554794
348,1181,127,552,TED2005,2005-02-28,Larry Burns,2008-12-04,565020
349,634,19,238,TED2007,2007-03-03,Nick Sears,2008-12-05,457492
350,3384,31,1517,TED2004,2004-03-01,David Holt,2008-12-07,512588
351,1684,58,1089,TED2001,2001-02-02,Eva Zeisel,2008-12-09,438972
352,2944,111,988,Taste3 2008,2008-07-19,Dennis vanEngelsdorp,2008-12-10,590570
353,1275,43,429,TED2008,2008-02-29,Jay Walker,2008-12-14,482996
354,4629,230,2018,TEDGlobal 2005,2005-07-07,Dan Gilbert,2008-12-16,3707266
355,2501,99,880,Taste3 2008,2008-07-19,Benjamin Wallace,2008-12-17,1848521
356,3381,42,1109,TED2006,2006-02-02,Penelope Boston,2008-12-17,651151
357,3340,94,1318,TED2004,2004-02-02,Steven Strogatz,2008-12-22,642201
358,931,116,408,TED in the Field,2008-12-04,Nicholas Negroponte,2008-12-22,363202
359,2823,84,998,Taste3 2008,2008-07-07,Jennifer 8. Lee,2008-12-24,1285775
